tt,frame,wheels,flat,climb,frame_level,wheels_level
False,Parlee RZ7,Mavic Comete Pro Carbon SL UST,3060.5,2971.5,32.0,13.0
False,Parlee RZ7,Giant SLR 0,3063.0,2953.5,32.0,22.0
False,Parlee RZ7,Shimano C60,3063.0,2972.0,32.0,10.0
False,Parlee RZ7,Mavic Cosmic CXR60c,3064.5,2969.5,32.0,7.0
False,Parlee RZ7,Bontrager Aeolus5,3067.0,2957.0,32.0,11.0
False,Parlee RZ7,Mavic Cosmic Ultimate UST,3067.0,2967.0,32.0,6.0
False,Parlee RZ7,HED Vanquish RC6 Pro,3069.5,2955.0,32.0,8.0
False,Parlee RZ7,CADEX 42,3070.0,2955.0,32.0,8.0
False,Parlee RZ7,Roval Alpinist CLX,3072.0,2947.0,32.0,32.0
False,Parlee RZ7,Shimano C50,3072.0,2968.5,32.0,4.0
False,Parlee RZ7,Lightweight Meilenstein,3072.5,2947.0,32.0,0.0
False,Parlee RZ7,50mm Carbon,3073.5,2962.0,32.0,9.0
False,Parlee RZ7,Shimano C40,3074.0,2964.5,32.0,4.0
False,Parlee RZ7,CADEX 36,3079.5,2952.5,32.0,26.0
False,Parlee RZ7,Zipp 202,3081.0,2955.5,32.0,
False,Parlee RZ7,Novatec R4,3082.5,2966.0,32.0,
False,Parlee RZ7,ENVE SES 2.2,3086.0,2954.5,32.0,
False,Parlee RZ7,Zwift 32mm Carbon,3086.0,2961.0,32.0,3.0
False,Parlee RZ7,Campagnolo Bora Ultra 50,3086.5,2954.5,32.0,12.0
False,Parlee RZ7,Zwift Safety,3086.5,2960.5,32.0,44.0
False,Parlee RZ7,Zwift Buffalo Fahrrad,3091.0,2968.0,32.0,
False,Parlee RZ7,Zwift Classic,3092.0,2969.0,32.0,1.0
False,Pinarello Dogma F10,DT Swiss ARC 1100 Dicut Disc,3026.0,2961.5,40.0,42.0
False,Pinarello Dogma F10,Zipp 858/Super9,3033.0,2962.5,40.0,45.0
False,Pinarello Dogma F10,Zipp 808/Super9,3035.0,2963.5,40.0,35.0
False,Pinarello Dogma F10,Zipp 858,3039.0,2952.5,40.0,37.0
False,Pinarello Dogma F10,ENVE SES 7.8,3041.0,2947.5,40.0,39.0
False,Pinarello Dogma F10,Zipp 808,3042.0,2954.5,40.0,13.0
False,Pinarello Dogma F10,ENVE SES 8.9,3042.5,2957.0,40.0,31.0
False,Pinarello Dogma F10,Zipp 454,3050.0,2945.5,40.0,24.0
False,Pinarello Dogma F10,DT Swiss ARC 1100 Dicut 62,3051.0,2943.5,40.0,6.0
False,Pinarello Dogma F10,CADEX 65,3051.5,2945.5,40.0,21.0
False,Pinarello Dogma F10,Zipp 404,3053.0,2948.5,40.0,15.0
False,Pinarello Dogma F10,ENVE SES 6.7,3054.0,2952.5,40.0,25.0
False,Pinarello Dogma F10,Zipp 353 NSW,3055.0,2945.5,40.0,19.0
False,Pinarello Dogma F10,Roval Rapide CLX,3056.0,2947.5,40.0,15.0
False,Pinarello Dogma F10,Roval CLX 64,3056.0,2952.5,40.0,16.0
False,Pinarello Dogma F10,ENVE SES 3.4,3058.5,2944.5,40.0,27.0
False,Pinarello Dogma F10,FFWD RYOT55,3059.5,2944.5,40.0,
False,Pinarello Dogma F10,Campagnolo Bora Ultra 35,3060.0,2946.0,40.0,33.0
False,Pinarello Dogma F10,Mavic Comete Pro Carbon SL UST,3060.5,2963.0,40.0,13.0
False,Pinarello Dogma F10,Giant SLR 0,3063.0,2945.0,40.0,22.0
False,Pinarello Dogma F10,Shimano C60,3063.0,2963.5,40.0,10.0
False,Pinarello Dogma F10,Mavic Cosmic CXR60c,3064.5,2961.0,40.0,7.0
False,Pinarello Dogma F10,Bontrager Aeolus5,3067.0,2948.5,40.0,11.0
False,Pinarello Dogma F10,Mavic Cosmic Ultimate UST,3067.0,2958.5,40.0,6.0
False,Pinarello Dogma F10,HED Vanquish RC6 Pro,3069.5,2946.5,40.0,8.0
False,Pinarello Dogma F10,CADEX 42,3070.0,2946.5,40.0,8.0
False,Pinarello Dogma F10,Roval Alpinist CLX,3072.0,2938.5,40.0,32.0
False,Pinarello Dogma F10,Shimano C50,3072.0,2960.0,40.0,4.0
False,Pinarello Dogma F10,Lightweight Meilenstein,3072.5,2938.5,40.0,0.0
False,Pinarello Dogma F10,50mm Carbon,3073.5,2953.5,40.0,9.0
False,Pinarello Dogma F10,Shimano C40,3074.0,2956.0,40.0,4.0
False,Pinarello Dogma F10,CADEX 36,3079.5,2944.0,40.0,26.0
False,Pinarello Dogma F10,Zipp 202,3081.0,2947.0,40.0,
False,Pinarello Dogma F10,Novatec R4,3082.5,2957.5,40.0,
False,Pinarello Dogma F10,ENVE SES 2.2,3086.0,2946.0,40.0,
False,Pinarello Dogma F10,Zwift 32mm Carbon,3086.0,2952.5,40.0,3.0
False,Pinarello Dogma F10,Campagnolo Bora Ultra 50,3086.5,2946.0,40.0,12.0
False,Pinarello Dogma F10,Zwift Safety,3086.5,2952.0,40.0,44.0
False,Pinarello Dogma F10,Zwift Buffalo Fahrrad,3091.0,2959.5,40.0,
False,Pinarello Dogma F10,Zwift Classic,3092.0,2960.5,40.0,1.0
False,Ribble Endurance,DT Swiss ARC 1100 Dicut Disc,3027.0,2975.0,21.0,42.0
False,Ribble Endurance,Zipp 858/Super9,3034.0,2976.0,21.0,45.0
False,Ribble Endurance,Zipp 808/Super9,3036.0,2977.0,21.0,35.0
False,Ribble Endurance,Zipp 858,3040.0,2966.0,21.0,37.0
False,Ribble Endurance,ENVE SES 7.8,3042.0,2961.0,21.0,39.0
False,Ribble Endurance,Zipp 808,3043.0,2968.0,21.0,13.0
False,Ribble Endurance,ENVE SES 8.9,3043.5,2970.5,21.0,31.0
False,Ribble Endurance,Zipp 454,3051.0,2959.0,21.0,24.0
False,Ribble Endurance,DT Swiss ARC 1100 Dicut 62,3052.0,2957.0,21.0,6.0
False,Ribble Endurance,CADEX 65,3052.5,2959.0,21.0,21.0
False,Ribble Endurance,Zipp 404,3054.0,2962.0,21.0,15.0
False,Ribble Endurance,ENVE SES 6.7,3055.0,2966.0,21.0,25.0
False,Ribble Endurance,Zipp 353 NSW,3056.0,2959.0,21.0,19.0
False,Ribble Endurance,Roval Rapide CLX,3057.0,2961.0,21.0,15.0
False,Ribble Endurance,Roval CLX 64,3057.0,2966.0,21.0,16.0
False,Ribble Endurance,ENVE SES 3.4,3059.5,2958.0,21.0,27.0
False,Ribble Endurance,FFWD RYOT55,3060.5,2958.0,21.0,
False,Ribble Endurance,Campagnolo Bora Ultra 35,3061.0,2959.5,21.0,33.0
False,Ribble Endurance,Mavic Comete Pro Carbon SL UST,3061.5,2976.5,21.0,13.0
False,Ribble Endurance,Giant SLR 0,3064.0,2958.5,21.0,22.0
False,Ribble Endurance,Shimano C60,3064.0,2977.0,21.0,10.0
False,Ribble Endurance,Mavic Cosmic CXR60c,3065.5,2974.5,21.0,7.0
False,Ribble Endurance,Bontrager Aeolus5,3068.0,2962.0,21.0,11.0
False,Ribble Endurance,Mavic Cosmic Ultimate UST,3068.0,2972.0,21.0,6.0
False,Ribble Endurance,HED Vanquish RC6 Pro,3070.5,2960.0,21.0,8.0
False,Ribble Endurance,CADEX 42,3071.0,2960.0,21.0,8.0
False,Ribble Endurance,Roval Alpinist CLX,3073.0,2952.0,21.0,32.0
False,Ribble Endurance,Shimano C50,3073.0,2973.5,21.0,4.0
False,Ribble Endurance,Lightweight Meilenstein,3073.5,2952.0,21.0,0.0
False,Ribble Endurance,50mm Carbon,3074.5,2967.0,21.0,9.0
False,Ribble Endurance,Shimano C40,3075.0,2969.5,21.0,4.0
False,Ribble Endurance,CADEX 36,3080.5,2957.5,21.0,26.0
False,Ribble Endurance,Zipp 202,3082.0,2960.5,21.0,
False,Ribble Endurance,Novatec R4,3083.5,2971.0,21.0,
False,Ribble Endurance,ENVE SES 2.2,3087.0,2959.5,21.0,
False,Ribble Endurance,Zwift 32mm Carbon,3087.0,2966.0,21.0,3.0
False,Ribble Endurance,Campagnolo Bora Ultra 50,3087.5,2959.5,21.0,12.0
False,Ribble Endurance,Zwift Safety,3087.5,2965.5,21.0,44.0
False,Ribble Endurance,Zwift Buffalo Fahrrad,3092.0,2973.0,21.0,
False,Ribble Endurance,Zwift Classic,3093.0,2974.0,21.0,1.0
False,Chapter2 Rere,DT Swiss ARC 1100 Dicut Disc,3028.0,2972.0,13.0,42.0
False,Chapter2 Rere,Zipp 858/Super9,3035.0,2973.0,13.0,45.0
False,Chapter2 Rere,Zipp 808/Super9,3037.0,2974.0,13.0,35.0
False,Chapter2 Rere,Zipp 858,3041.0,2963.0,13.0,37.0
False,Chapter2 Rere,ENVE SES 7.8,3043.0,2958.0,13.0,39.0
False,Chapter2 Rere,Zipp 808,3044.0,2965.0,13.0,13.0
False,Chapter2 Rere,ENVE SES 8.9,3044.5,2967.5,13.0,31.0
False,Chapter2 Rere,Zipp 454,3052.0,2956.0,13.0,24.0
False,Chapter2 Rere,DT Swiss ARC 1100 Dicut 62,3053.0,2954.0,13.0,6.0
False,Chapter2 Rere,CADEX 65,3053.5,2956.0,13.0,21.0
False,Chapter2 Rere,Zipp 404,3055.0,2959.0,13.0,15.0
False,Chapter2 Rere,ENVE SES 6.7,3056.0,2963.0,13.0,25.0
False,Chapter2 Rere,Zipp 353 NSW,3057.0,2956.0,13.0,19.0
False,Chapter2 Rere,Roval Rapide CLX,3058.0,2958.0,13.0,15.0
False,Chapter2 Rere,Roval CLX 64,3058.0,2963.0,13.0,16.0
False,Chapter2 Rere,ENVE SES 3.4,3060.5,2955.0,13.0,27.0
False,Chapter2 Rere,FFWD RYOT55,3061.5,2955.0,13.0,
False,Chapter2 Rere,Campagnolo Bora Ultra 35,3062.0,2956.5,13.0,33.0
False,Chapter2 Rere,Mavic Comete Pro Carbon SL UST,3062.5,2973.5,13.0,13.0
False,Chapter2 Rere,Giant SLR 0,3065.0,2955.5,13.0,22.0
False,Chapter2 Rere,Shimano C60,3065.0,2974.0,13.0,10.0
False,Chapter2 Rere,Mavic Cosmic CXR60c,3066.5,2971.5,13.0,7.0
False,Chapter2 Rere,Bontrager Aeolus5,3069.0,2959.0,13.0,11.0
False,Chapter2 Rere,Mavic Cosmic Ultimate UST,3069.0,2969.0,13.0,6.0
False,Chapter2 Rere,HED Vanquish RC6 Pro,3071.5,2957.0,13.0,8.0
False,Chapter2 Rere,CADEX 42,3072.0,2957.0,13.0,8.0
False,Chapter2 Rere,Roval Alpinist CLX,3074.0,2949.0,13.0,32.0
False,Chapter2 Rere,Shimano C50,3074.0,2970.5,13.0,4.0
False,Chapter2 Rere,Lightweight Meilenstein,3074.5,2949.0,13.0,0.0
False,Chapter2 Rere,50mm Carbon,3075.5,2964.0,13.0,9.0
False,Chapter2 Rere,Shimano C40,3076.0,2966.5,13.0,4.0
False,Chapter2 Rere,CADEX 36,3081.5,2954.5,13.0,26.0
False,Chapter2 Rere,Zipp 202,3083.0,2957.5,13.0,
False,Chapter2 Rere,Novatec R4,3084.5,2968.0,13.0,
False,Chapter2 Rere,ENVE SES 2.2,3088.0,2956.5,13.0,
False,Chapter2 Rere,Zwift 32mm Carbon,3088.0,2963.0,13.0,3.0
False,Chapter2 Rere,Campagnolo Bora Ultra 50,3088.5,2956.5,13.0,12.0
False,Chapter2 Rere,Zwift Safety,3088.5,2962.5,13.0,44.0
False,Chapter2 Rere,Zwift Buffalo Fahrrad,3093.0,2970.0,13.0,
False,Chapter2 Rere,Zwift Classic,3094.0,2971.0,13.0,1.0
False,Scott Foil,DT Swiss ARC 1100 Dicut Disc,3028.0,2961.5,26.0,42.0
False,Scott Foil,Zipp 858/Super9,3035.0,2962.5,26.0,45.0
False,Scott Foil,Zipp 808/Super9,3037.0,2963.5,26.0,35.0
False,Scott Foil,Zipp 858,3041.0,2952.5,26.0,37.0
False,Scott Foil,ENVE SES 7.8,3043.0,2947.5,26.0,39.0
False,Scott Foil,Zipp 808,3044.0,2954.5,26.0,13.0
False,Scott Foil,ENVE SES 8.9,3044.5,2957.0,26.0,31.0
False,Scott Foil,Zipp 454,3052.0,2945.5,26.0,24.0
False,Scott Foil,DT Swiss ARC 1100 Dicut 62,3053.0,2943.5,26.0,6.0
False,Scott Foil,CADEX 65,3053.5,2945.5,26.0,21.0
False,Scott Foil,Zipp 404,3055.0,2948.5,26.0,15.0
False,Scott Foil,ENVE SES 6.7,3056.0,2952.5,26.0,25.0
False,Scott Foil,Zipp 353 NSW,3057.0,2945.5,26.0,19.0
False,Scott Foil,Roval Rapide CLX,3058.0,2947.5,26.0,15.0
False,Scott Foil,Roval CLX 64,3058.0,2952.5,26.0,16.0
False,Scott Foil,ENVE SES 3.4,3060.5,2944.5,26.0,27.0
False,Scott Foil,FFWD RYOT55,3061.5,2944.5,26.0,
False,Scott Foil,Campagnolo Bora Ultra 35,3062.0,2946.0,26.0,33.0
False,Scott Foil,Mavic Comete Pro Carbon SL UST,3062.5,2963.0,26.0,13.0
False,Scott Foil,Giant SLR 0,3065.0,2945.0,26.0,22.0
False,Scott Foil,Shimano C60,3065.0,2963.5,26.0,10.0
False,Scott Foil,Mavic Cosmic CXR60c,3066.5,2961.0,26.0,7.0
False,Scott Foil,Bontrager Aeolus5,3069.0,2948.5,26.0,11.0
False,Scott Foil,Mavic Cosmic Ultimate UST,3069.0,2958.5,26.0,6.0
False,Scott Foil,HED Vanquish RC6 Pro,3071.5,2946.5,26.0,8.0
False,Scott Foil,CADEX 42,3072.0,2946.5,26.0,8.0
False,Scott Foil,Roval Alpinist CLX,3074.0,2938.5,26.0,32.0
False,Scott Foil,Shimano C50,3074.0,2960.0,26.0,4.0
False,Scott Foil,Lightweight Meilenstein,3074.5,2938.5,26.0,0.0
False,Scott Foil,50mm Carbon,3075.5,2953.5,26.0,9.0
False,Scott Foil,Shimano C40,3076.0,2956.0,26.0,4.0
False,Scott Foil,CADEX 36,3081.5,2944.0,26.0,26.0
False,Scott Foil,Zipp 202,3083.0,2947.0,26.0,
False,Scott Foil,Novatec R4,3084.5,2957.5,26.0,
False,Scott Foil,ENVE SES 2.2,3088.0,2946.0,26.0,
False,Scott Foil,Zwift 32mm Carbon,3088.0,2952.5,26.0,3.0
False,Scott Foil,Campagnolo Bora Ultra 50,3088.5,2946.0,26.0,12.0
False,Scott Foil,Zwift Safety,3088.5,2952.0,26.0,44.0
False,Scott Foil,Zwift Buffalo Fahrrad,3093.0,2959.5,26.0,
False,Scott Foil,Zwift Classic,3094.0,2960.5,26.0,1.0
False,BMC TeamMachine,DT Swiss ARC 1100 Dicut Disc,3029.5,2951.5,39.0,42.0
False,BMC TeamMachine,Zipp 858/Super9,3036.5,2952.5,39.0,45.0
False,BMC TeamMachine,Zipp 808/Super9,3038.5,2953.5,39.0,35.0
False,BMC TeamMachine,Zipp 858,3042.5,2942.5,39.0,37.0
False,BMC TeamMachine,ENVE SES 7.8,3044.5,2937.5,39.0,39.0
False,BMC TeamMachine,Zipp 808,3045.5,2944.5,39.0,13.0
False,BMC TeamMachine,ENVE SES 8.9,3046.0,2947.0,39.0,31.0
False,BMC TeamMachine,Zipp 454,3053.5,2935.5,39.0,24.0
False,BMC TeamMachine,DT Swiss ARC 1100 Dicut 62,3054.5,2933.5,39.0,6.0
False,BMC TeamMachine,CADEX 65,3055.0,2935.5,39.0,21.0
False,BMC TeamMachine,Zipp 404,3056.5,2938.5,39.0,15.0
False,BMC TeamMachine,ENVE SES 6.7,3057.5,2942.5,39.0,25.0
False,BMC TeamMachine,Zipp 353 NSW,3058.5,2935.5,39.0,19.0
False,BMC TeamMachine,Roval Rapide CLX,3059.5,2937.5,39.0,15.0
False,BMC TeamMachine,Roval CLX 64,3059.5,2942.5,39.0,16.0
False,BMC TeamMachine,ENVE SES 3.4,3062.0,2934.5,39.0,27.0
False,BMC TeamMachine,FFWD RYOT55,3063.0,2934.5,39.0,
False,BMC TeamMachine,Campagnolo Bora Ultra 35,3063.5,2936.0,39.0,33.0
False,BMC TeamMachine,Mavic Comete Pro Carbon SL UST,3064.0,2953.0,39.0,13.0
False,BMC TeamMachine,Giant SLR 0,3066.5,2935.0,39.0,22.0
False,BMC TeamMachine,Shimano C60,3066.5,2953.5,39.0,10.0
False,BMC TeamMachine,Mavic Cosmic CXR60c,3068.0,2951.0,39.0,7.0
False,BMC TeamMachine,Bontrager Aeolus5,3070.5,2938.5,39.0,11.0
False,BMC TeamMachine,Mavic Cosmic Ultimate UST,3070.5,2948.5,39.0,6.0
False,BMC TeamMachine,HED Vanquish RC6 Pro,3073.0,2936.5,39.0,8.0
False,BMC TeamMachine,CADEX 42,3073.5,2936.5,39.0,8.0
False,BMC TeamMachine,Roval Alpinist CLX,3075.5,2928.5,39.0,32.0
False,BMC TeamMachine,Shimano C50,3075.5,2950.0,39.0,4.0
False,BMC TeamMachine,Lightweight Meilenstein,3076.0,2928.5,39.0,0.0
False,BMC TeamMachine,50mm Carbon,3077.0,2943.5,39.0,9.0
False,BMC TeamMachine,Shimano C40,3077.5,2946.0,39.0,4.0
False,BMC TeamMachine,CADEX 36,3083.0,2934.0,39.0,26.0
False,BMC TeamMachine,Zipp 202,3084.5,2937.0,39.0,
False,BMC TeamMachine,Novatec R4,3086.0,2947.5,39.0,
False,BMC TeamMachine,ENVE SES 2.2,3089.5,2936.0,39.0,
False,BMC TeamMachine,Zwift 32mm Carbon,3089.5,2942.5,39.0,3.0
False,BMC TeamMachine,Campagnolo Bora Ultra 50,3090.0,2936.0,39.0,12.0
False,BMC TeamMachine,Zwift Safety,3090.0,2942.0,39.0,44.0
False,BMC TeamMachine,Zwift Buffalo Fahrrad,3094.5,2949.5,39.0,
False,BMC TeamMachine,Zwift Classic,3095.5,2950.5,39.0,1.0
False,Liv Langma SL Advanced Disc,DT Swiss ARC 1100 Dicut Disc,3029.5,2954.0,24.0,42.0
False,Liv Langma SL Advanced Disc,Zipp 858/Super9,3036.5,2955.0,24.0,45.0
False,Liv Langma SL Advanced Disc,Zipp 808/Super9,3038.5,2956.0,24.0,35.0
False,Liv Langma SL Advanced Disc,Zipp 858,3042.5,2945.0,24.0,37.0
False,Liv Langma SL Advanced Disc,ENVE SES 7.8,3044.5,2940.0,24.0,39.0
False,Liv Langma SL Advanced Disc,Zipp 808,3045.5,2947.0,24.0,13.0
False,Liv Langma SL Advanced Disc,ENVE SES 8.9,3046.0,2949.5,24.0,31.0
False,Liv Langma SL Advanced Disc,Zipp 454,3053.5,2938.0,24.0,24.0
False,Liv Langma SL Advanced Disc,DT Swiss ARC 1100 Dicut 62,3054.5,2936.0,24.0,6.0
False,Liv Langma SL Advanced Disc,CADEX 65,3055.0,2938.0,24.0,21.0
False,Liv Langma SL Advanced Disc,Zipp 404,3056.5,2941.0,24.0,15.0
False,Liv Langma SL Advanced Disc,ENVE SES 6.7,3057.5,2945.0,24.0,25.0
False,Liv Langma SL Advanced Disc,Zipp 353 NSW,3058.5,2938.0,24.0,19.0
False,Liv Langma SL Advanced Disc,Roval Rapide CLX,3059.5,2940.0,24.0,15.0
False,Liv Langma SL Advanced Disc,Roval CLX 64,3059.5,2945.0,24.0,16.0
False,Liv Langma SL Advanced Disc,ENVE SES 3.4,3062.0,2937.0,24.0,27.0
False,Liv Langma SL Advanced Disc,FFWD RYOT55,3063.0,2937.0,24.0,
False,Liv Langma SL Advanced Disc,Campagnolo Bora Ultra 35,3063.5,2938.5,24.0,33.0
False,Liv Langma SL Advanced Disc,Mavic Comete Pro Carbon SL UST,3064.0,2955.5,24.0,13.0
False,Liv Langma SL Advanced Disc,Giant SLR 0,3066.5,2937.5,24.0,22.0
False,Liv Langma SL Advanced Disc,Shimano C60,3066.5,2956.0,24.0,10.0
False,Liv Langma SL Advanced Disc,Mavic Cosmic CXR60c,3068.0,2953.5,24.0,7.0
False,Liv Langma SL Advanced Disc,Bontrager Aeolus5,3070.5,2941.0,24.0,11.0
False,Liv Langma SL Advanced Disc,Mavic Cosmic Ultimate UST,3070.5,2951.0,24.0,6.0
False,Liv Langma SL Advanced Disc,HED Vanquish RC6 Pro,3073.0,2939.0,24.0,8.0
False,Liv Langma SL Advanced Disc,CADEX 42,3073.5,2939.0,24.0,8.0
False,Liv Langma SL Advanced Disc,Roval Alpinist CLX,3075.5,2931.0,24.0,32.0
False,Liv Langma SL Advanced Disc,Shimano C50,3075.5,2952.5,24.0,4.0
False,Liv Langma SL Advanced Disc,Lightweight Meilenstein,3076.0,2931.0,24.0,0.0
False,Liv Langma SL Advanced Disc,50mm Carbon,3077.0,2946.0,24.0,9.0
False,Liv Langma SL Advanced Disc,Shimano C40,3077.5,2948.5,24.0,4.0
False,Liv Langma SL Advanced Disc,CADEX 36,3083.0,2936.5,24.0,26.0
False,Liv Langma SL Advanced Disc,Zipp 202,3084.5,2939.5,24.0,
False,Liv Langma SL Advanced Disc,Novatec R4,3086.0,2950.0,24.0,
False,Liv Langma SL Advanced Disc,ENVE SES 2.2,3089.5,2938.5,24.0,
False,Liv Langma SL Advanced Disc,Zwift 32mm Carbon,3089.5,2945.0,24.0,3.0
False,Liv Langma SL Advanced Disc,Campagnolo Bora Ultra 50,3090.0,2938.5,24.0,12.0
False,Liv Langma SL Advanced Disc,Zwift Safety,3090.0,2944.5,24.0,44.0
False,Liv Langma SL Advanced Disc,Zwift Buffalo Fahrrad,3094.5,2952.0,24.0,
False,Liv Langma SL Advanced Disc,Zwift Classic,3095.5,2953.0,24.0,1.0
False,Cannondale SuperSix EVO,DT Swiss ARC 1100 Dicut Disc,3030.0,2949.0,29.0,42.0
False,Cannondale SuperSix EVO,Zipp 858/Super9,3037.0,2950.0,29.0,45.0
False,Cannondale SuperSix EVO,Zipp 808/Super9,3039.0,2951.0,29.0,35.0
False,Cannondale SuperSix EVO,Zipp 858,3043.0,2940.0,29.0,37.0
False,Cannondale SuperSix EVO,ENVE SES 7.8,3045.0,2935.0,29.0,39.0
False,Cannondale SuperSix EVO,Zipp 808,3046.0,2942.0,29.0,13.0
False,Cannondale SuperSix EVO,ENVE SES 8.9,3046.5,2944.5,29.0,31.0
False,Cannondale SuperSix EVO,Zipp 454,3054.0,2933.0,29.0,24.0
False,Cannondale SuperSix EVO,DT Swiss ARC 1100 Dicut 62,3055.0,2931.0,29.0,6.0
False,Cannondale SuperSix EVO,CADEX 65,3055.5,2933.0,29.0,21.0
False,Cannondale SuperSix EVO,Zipp 404,3057.0,2936.0,29.0,15.0
False,Cannondale SuperSix EVO,ENVE SES 6.7,3058.0,2940.0,29.0,25.0
False,Cannondale SuperSix EVO,Zipp 353 NSW,3059.0,2933.0,29.0,19.0
False,Cannondale SuperSix EVO,Roval Rapide CLX,3060.0,2935.0,29.0,15.0
False,Cannondale SuperSix EVO,Roval CLX 64,3060.0,2940.0,29.0,16.0
False,Cannondale SuperSix EVO,ENVE SES 3.4,3062.5,2932.0,29.0,27.0
False,Cannondale SuperSix EVO,FFWD RYOT55,3063.5,2932.0,29.0,
False,Cannondale SuperSix EVO,Campagnolo Bora Ultra 35,3064.0,2933.5,29.0,33.0
False,Cannondale SuperSix EVO,Mavic Comete Pro Carbon SL UST,3064.5,2950.5,29.0,13.0
False,Cannondale SuperSix EVO,Giant SLR 0,3067.0,2932.5,29.0,22.0
False,Cannondale SuperSix EVO,Shimano C60,3067.0,2951.0,29.0,10.0
False,Cannondale SuperSix EVO,Mavic Cosmic CXR60c,3068.5,2948.5,29.0,7.0
False,Cannondale SuperSix EVO,Bontrager Aeolus5,3071.0,2936.0,29.0,11.0
False,Cannondale SuperSix EVO,Mavic Cosmic Ultimate UST,3071.0,2946.0,29.0,6.0
False,Cannondale SuperSix EVO,HED Vanquish RC6 Pro,3073.5,2934.0,29.0,8.0
False,Cannondale SuperSix EVO,CADEX 42,3074.0,2934.0,29.0,8.0
False,Cannondale SuperSix EVO,Roval Alpinist CLX,3076.0,2926.0,29.0,32.0
False,Cannondale SuperSix EVO,Shimano C50,3076.0,2947.5,29.0,4.0
False,Cannondale SuperSix EVO,Lightweight Meilenstein,3076.5,2926.0,29.0,0.0
False,Cannondale SuperSix EVO,50mm Carbon,3077.5,2941.0,29.0,9.0
False,Cannondale SuperSix EVO,Shimano C40,3078.0,2943.5,29.0,4.0
False,Cannondale SuperSix EVO,CADEX 36,3083.5,2931.5,29.0,26.0
False,Cannondale SuperSix EVO,Zipp 202,3085.0,2934.5,29.0,
False,Cannondale SuperSix EVO,Novatec R4,3086.5,2945.0,29.0,
False,Cannondale SuperSix EVO,ENVE SES 2.2,3090.0,2933.5,29.0,
False,Cannondale SuperSix EVO,Zwift 32mm Carbon,3090.0,2940.0,29.0,3.0
False,Cannondale SuperSix EVO,Campagnolo Bora Ultra 50,3090.5,2933.5,29.0,12.0
False,Cannondale SuperSix EVO,Zwift Safety,3090.5,2939.5,29.0,44.0
False,Cannondale SuperSix EVO,Zwift Buffalo Fahrrad,3095.0,2947.0,29.0,
False,Cannondale SuperSix EVO,Zwift Classic,3096.0,2948.0,29.0,1.0
False,Felt FR,DT Swiss ARC 1100 Dicut Disc,3030.0,2949.0,23.0,42.0
False,Felt FR,Zipp 858/Super9,3037.0,2950.0,23.0,45.0
False,Felt FR,Zipp 808/Super9,3039.0,2951.0,23.0,35.0
False,Felt FR,Zipp 858,3043.0,2940.0,23.0,37.0
False,Felt FR,ENVE SES 7.8,3045.0,2935.0,23.0,39.0
False,Felt FR,Zipp 808,3046.0,2942.0,23.0,13.0
False,Felt FR,ENVE SES 8.9,3046.5,2944.5,23.0,31.0
False,Felt FR,Zipp 454,3054.0,2933.0,23.0,24.0
False,Felt FR,DT Swiss ARC 1100 Dicut 62,3055.0,2931.0,23.0,6.0
False,Felt FR,CADEX 65,3055.5,2933.0,23.0,21.0
False,Felt FR,Zipp 404,3057.0,2936.0,23.0,15.0
False,Felt FR,ENVE SES 6.7,3058.0,2940.0,23.0,25.0
False,Felt FR,Zipp 353 NSW,3059.0,2933.0,23.0,19.0
False,Felt FR,Roval Rapide CLX,3060.0,2935.0,23.0,15.0
False,Felt FR,Roval CLX 64,3060.0,2940.0,23.0,16.0
False,Felt FR,ENVE SES 3.4,3062.5,2932.0,23.0,27.0
False,Felt FR,FFWD RYOT55,3063.5,2932.0,23.0,
False,Felt FR,Campagnolo Bora Ultra 35,3064.0,2933.5,23.0,33.0
False,Felt FR,Mavic Comete Pro Carbon SL UST,3064.5,2950.5,23.0,13.0
False,Felt FR,Giant SLR 0,3067.0,2932.5,23.0,22.0
False,Felt FR,Shimano C60,3067.0,2951.0,23.0,10.0
False,Felt FR,Mavic Cosmic CXR60c,3068.5,2948.5,23.0,7.0
False,Felt FR,Bontrager Aeolus5,3071.0,2936.0,23.0,11.0
False,Felt FR,Mavic Cosmic Ultimate UST,3071.0,2946.0,23.0,6.0
False,Felt FR,HED Vanquish RC6 Pro,3073.5,2934.0,23.0,8.0
False,Felt FR,CADEX 42,3074.0,2934.0,23.0,8.0
False,Felt FR,Roval Alpinist CLX,3076.0,2926.0,23.0,32.0
False,Felt FR,Shimano C50,3076.0,2947.5,23.0,4.0
False,Felt FR,Lightweight Meilenstein,3076.5,2926.0,23.0,0.0
False,Felt FR,50mm Carbon,3077.5,2941.0,23.0,9.0
False,Felt FR,Shimano C40,3078.0,2943.5,23.0,4.0
False,Felt FR,CADEX 36,3083.5,2931.5,23.0,26.0
False,Felt FR,Zipp 202,3085.0,2934.5,23.0,
False,Felt FR,Novatec R4,3086.5,2945.0,23.0,
False,Felt FR,ENVE SES 2.2,3090.0,2933.5,23.0,
False,Felt FR,Zwift 32mm Carbon,3090.0,2940.0,23.0,3.0
False,Felt FR,Campagnolo Bora Ultra 50,3090.5,2933.5,23.0,12.0
False,Felt FR,Zwift Safety,3090.5,2939.5,23.0,44.0
